time,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,total_delay_s,queue_delay_s,encryption_delay_s,packet_loss,utilization_rho
55,Traditional,No Encryption,139.4468107143311,112.04989142425904,112.04989142425904,999.000199999999,998.9999999999992,0.0,0.1036008686059277,0.999
56,Traditional,No Encryption,114.95994156774844,114.95994156774844,114.95994156774844,11.450326744129695,11.450126744129696,0.0,0.0,0.999
57,Traditional,No Encryption,556.0574456596701,28.099614746572673,28.099614746572673,999.000199999999,998.9999999999992,0.0,0.7752030820274186,0.999
58,Traditional,No Encryption,307.8446739284865,50.756116065304255,50.756116065304255,999.000199999999,998.9999999999992,0.0,0.593951071477566,0.999
59,Traditional,No Encryption,262.9065178167407,59.431771147231224,59.431771147231224,999.000199999999,998.9999999999992,0.0,0.5245458308221502,0.999
0,Traditional,AES-256,136.52171475355408,114.4506573786148,113.76804880484704,999.000199999999,998.9999999999992,0.068260857376777,0.0843947409710815,0.999
1,Traditional,AES-256,103.0539369867801,103.0539369867801,102.5386673018462,4.695982424606288,4.695782424606287,0.05152696849339,0.0,0.999
2,Traditional,AES-256,140.50448099671377,111.2064176826179,110.50389527763431,999.000199999999,998.9999999999992,0.0702522404983568,0.1103486585390568,0.999
3,Traditional,AES-256,77.39770846177478,77.39770846177478,77.01071991946591,1.6261240040917668,1.6259240040917669,0.0386988542308873,0.0,0.999
4,Traditional,AES-256,120.57249542190394,120.57249542190394,119.9696329447944,27.23280773538337,27.23260773538337,0.0602862477109519,0.0,0.999
5,Traditional,AES-256,109.56989980080182,109.56989980080182,109.0220503017978,7.1012491433163625,7.101049143316362,0.0547849499004009,0.0,0.999
6,Traditional,AES-256,141.06817077329828,110.76205152691706,110.05671067305056,999.000199999999,998.9999999999992,0.0705340853866491,0.1139035877846634,0.999
7,Traditional,AES-256,87.58311023842089,87.58311023842089,87.14519468722878,2.340937319336309,2.3407373193363092,0.0437915551192104,0.0,0.999
8,Traditional,AES-256,92.08347862281218,92.08347862281218,91.62306122969812,2.797685115988863,2.797485115988863,0.046041739311406,0.0,0.999
9,Traditional,AES-256,62.339529697352845,62.339529697352845,62.02783204886608,0.9950781009184232,0.9948781009184232,0.0311697648486764,0.0,0.999
10,Traditional,AES-256,117.49399983249133,117.49399983249133,116.90652983332888,15.653543619826872,15.653343619826874,0.0587469999162456,0.0,0.999
11,Traditional,AES-256,131.60594837306368,118.7256365928672,118.06760685100188,999.000199999999,998.9999999999992,0.0658029741865318,0.0501949072570624,0.999
12,Traditional,AES-256,74.09534609570699,74.09534609570699,73.72486936522846,1.4557711592699427,1.4555711592699427,0.0370476730478534,0.0,0.999
13,Traditional,AES-256,104.00329615742316,104.00329615742316,103.48327967663604,4.953515384033117,4.953315384033116,0.0520016480787115,0.0,0.999
14,Traditional,AES-256,76.95661077233473,76.95661077233473,76.57182771847306,1.602014776381765,1.601814776381765,0.0384783053861673,0.0,0.999
15,Traditional,AES-256,270.55810265579805,57.75099635392553,56.39820584064654,999.000199999999,998.9999999999992,0.135279051327899,0.5379920291685958,0.999
16,Traditional,AES-256,256.9696401981906,60.804848339084145,59.520000138093195,999.000199999999,998.9999999999992,0.1284848200990953,0.5135612132873268,0.999
17,Traditional,AES-256,248.78380218812092,62.80553582095737,61.561616810016766,999.000199999999,998.9999999999992,0.1243919010940604,0.497555713432341,0.999
18,Traditional,AES-256,209.86981075033825,74.45091766241477,73.40156860866307,999.000199999999,998.9999999999992,0.1049349053751691,0.4043926587006818,0.999
19,Traditional,AES-256,268.65261442625535,58.1606102489244,56.81734717679312,999.000199999999,998.9999999999992,0.1343263072131277,0.5347151180086048,0.999
20,Traditional,AES-256,254.87210734730547,61.30525683105978,60.03089629432325,999.000199999999,998.9999999999992,0.1274360536736527,0.5095579453515218,0.999
21,Traditional,AES-256,314.56342919207987,49.67201699234722,48.09919984638682,999.000199999999,998.9999999999992,0.1572817145960399,0.6026238640612223,0.999
22,Traditional,AES-256,204.5478106979836,76.38800897786402,75.3652699243741,999.000199999999,998.9999999999992,0.1022739053489918,0.3888959281770879,0.999
23,Traditional,AES-256,248.58487276200455,62.85579579478029,61.612871430970266,999.000199999999,998.9999999999992,0.1242924363810022,0.4971536336417576,0.999
24,Traditional,AES-256,348.7401296199006,44.80413543755353,43.06043478945403,999.000199999999,998.9999999999992,0.1743700648099503,0.6415669164995718,0.999
25,Traditional,AES-256,307.6496067492372,50.788298301761905,49.25005026801572,999.000199999999,998.9999999999992,0.1538248033746186,0.5936936135859048,0.999
26,Traditional,AES-256,264.43772310551174,59.08763627406352,57.76544765853596,999.000199999999,998.9999999999992,0.1322188615527558,0.5272989098074918,0.999
27,Traditional,AES-256,334.73466334129984,46.67876294624601,45.00508962953951,999.000199999999,998.9999999999992,0.1673673316706499,0.6265698964300319,0.999
