timestamp,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,latency_s,queue_delay_s,encryption_delay_s,packet_loss
45,Traditional,False,642.7715387146462,24.30879256297719,24.30879256297719,999.000199999999,998.9999999999991,0.0,0.8055296594961825
46,Traditional,False,158.48252133077557,98.591313848348,98.591313848348,999.000199999999,998.9999999999991,0.0,0.21126948921321603
47,Traditional,False,445.8613623956123,35.044525760310115,35.044525760310115,999.000199999999,998.9999999999991,0.0,0.7196437939175191
48,Traditional,False,219.2621164558697,71.26174029768978,71.26174029768978,999.000199999999,998.9999999999991,0.0,0.4299060776184817
49,Traditional,False,163.76092925320083,95.41347909574468,95.41347909574468,999.000199999999,998.9999999999991,0.0,0.2366921672340426
50,Traditional,False,331.60424803869535,47.119420491189544,47.119420491189544,999.000199999999,998.9999999999991,0.0,0.6230446360704837
51,Traditional,False,446.41054201902466,35.001413562796444,35.001413562796444,999.000199999999,998.9999999999991,0.0,0.7199886914976285
52,Traditional,False,262.7872710336519,59.45873990981511,59.45873990981511,999.000199999999,998.9999999999991,0.0,0.5243300807214791
53,Traditional,False,606.0699688744468,25.780851720829723,25.780851720829723,999.000199999999,998.9999999999991,0.0,0.7937531862333622
54,Traditional,False,138.45942624267946,112.84894372315165,112.84894372315165,999.000199999999,998.9999999999991,0.0,0.09720845021478683
55,Traditional,False,139.4468107143311,112.04989142425903,112.04989142425903,999.000199999999,998.9999999999991,0.0,0.10360086860592775
56,Traditional,False,114.95994156774844,114.95994156774844,114.95994156774844,11.450326744129695,11.450126744129696,0.0,0.0
57,Traditional,False,556.0574456596701,28.099614746572673,28.099614746572673,999.000199999999,998.9999999999991,0.0,0.7752030820274186
58,Traditional,False,307.8446739284865,50.756116065304255,50.756116065304255,999.000199999999,998.9999999999991,0.0,0.593951071477566
59,Traditional,False,262.9065178167407,59.431771147231224,59.431771147231224,999.000199999999,998.9999999999991,0.0,0.5245458308221502
0,Traditional,True,136.52171475355408,114.4506573786148,113.76804880484704,999.000199999999,998.9999999999991,0.06826085737677703,0.08439474097108154
